learner_id,proficiency_level,learning_goal,session_num,activity_type,content_difficulty,prev_score,real_time_score,engagement_level,adaptive_action,path_updated,reward_signal,next_proficiency
L0059,Advanced,JLPT N5,2,Listening,1.8,63.9,63.02,0.75,Advance,True,-0.04,1.81
L0047,Beginner,JLPT N5,2,Listening,3.1,37.57,41.24,0.62,Advance,False,0.18,1.36
L0066,Beginner,Reading,13,Vocabulary,5.92,59.83,79.97,0.33,Repeat,True,0.76,1.83
L0041,Beginner,JLPT N5,11,Listening,7.19,78.63,54.29,0.62,Revise,True,-0.84,1.58
L0014,Advanced,JLPT N5,4,Grammar,7.4,60.15,49.68,0.42,Revise,True,-0.48,1.6
L0041,Beginner,Reading,5,Listening,7.51,72.83,71.57,0.36,Repeat,False,-0.06,1.57
L0077,Beginner,Conversational,16,Kanji,6.21,89.67,77.14,0.38,Test,False,-0.56,1.67
L0035,Intermediate,Reading,4,Grammar,6.28,88.37,82.54,0.98,Repeat,True,-0.28,1.83
L0045,Beginner,Writing,4,Kanji,7.91,96.99,100.0,0.76,Repeat,True,0.15,2.12
L0064,Advanced,JLPT N5,11,Grammar,3.34,73.03,81.63,0.57,Revise,False,0.41,1.39
L0078,Intermediate,JLPT N5,18,Grammar,4.56,65.85,68.92,0.5,Revise,True,0.15,1.85
L0038,Advanced,Conversational,7,Vocabulary,6.68,57.8,69.93,0.81,Repeat,False,0.54,1.67
L0088,Advanced,JLPT N4,7,Listening,7.25,58.01,60.95,0.81,Revise,False,0.15,1.27
L0054,Beginner,Reading,2,Kanji,5.8,60.23,54.94,0.65,Revise,True,-0.26,1.67
L0053,Intermediate,JLPT N4,12,Listening,5.62,95.53,97.94,0.51,Repeat,True,0.12,2.5
L0086,Advanced,JLPT N5,19,Grammar,7.0,73.08,61.14,0.69,Repeat,False,-0.53,1.56
L0082,Advanced,Reading,8,Vocabulary,6.66,56.1,68.98,0.44,Revise,False,0.57,1.61
L0060,Advanced,JLPT N5,10,Grammar,6.52,78.76,94.2,0.56,Repeat,False,0.65,2.13
L0001,Beginner,Conversational,9,Vocabulary,4.73,70.22,62.37,0.97,Repeat,False,-0.37,1.75
L0020,Beginner,Reading,20,Grammar,3.23,63.44,70.66,1.0,Revise,False,0.35,1.63
L0086,Intermediate,Conversational,4,Listening,8.13,51.25,44.47,0.4,Repeat,False,-0.33,1.58
L0017,Intermediate,JLPT N4,6,Listening,8.36,58.74,70.4,0.37,Repeat,False,0.53,1.59
L0022,Advanced,JLPT N4,7,Listening,9.43,65.56,66.82,0.69,Repeat,True,0.06,1.53
L0075,Beginner,Conversational,4,Kanji,4.96,60.0,76.06,0.32,Advance,True,0.67,2.07
L0030,Beginner,Conversational,19,Kanji,3.36,69.95,68.25,0.85,Repeat,False,-0.08,1.59
L0039,Beginner,JLPT N4,6,Vocabulary,6.11,62.59,39.55,0.39,Advance,False,-0.82,1.47
L0026,Advanced,JLPT N5,17,Listening,3.31,67.97,72.77,0.81,Test,False,0.24,1.45
L0039,Advanced,JLPT N5,11,Listening,3.19,85.85,90.41,0.65,Revise,False,0.22,1.69
L0008,Beginner,Reading,15,Listening,4.55,55.61,51.89,0.7,Test,False,-0.18,1.74
L0023,Advanced,Reading,16,Kanji,5.61,49.35,56.53,0.71,Repeat,True,0.34,1.9
L0050,Beginner,JLPT N5,6,Kanji,1.21,72.55,82.88,0.89,Revise,False,0.47,1.79
L0041,Advanced,JLPT N5,5,Vocabulary,1.0,58.01,59.57,0.74,Test,False,0.08,1.66
L0030,Intermediate,Conversational,7,Kanji,4.45,55.01,54.47,0.31,Advance,True,-0.03,1.71
L0081,Advanced,Reading,12,Listening,3.09,55.7,45.0,0.89,Revise,False,-0.49,1.06
L0027,Advanced,JLPT N5,6,Grammar,4.96,58.79,34.55,0.54,Advance,True,-0.84,1.52
L0073,Beginner,Writing,15,Kanji,5.13,77.74,62.11,0.81,Repeat,True,-0.65,1.52
L0062,Beginner,JLPT N4,18,Kanji,5.89,59.45,53.88,0.52,Test,False,-0.27,1.33
L0063,Intermediate,JLPT N5,12,Vocabulary,3.38,65.27,61.0,0.48,Advance,True,-0.21,1.5
L0035,Intermediate,JLPT N4,7,Vocabulary,5.94,98.72,100.0,0.85,Repeat,False,0.06,1.54
L0056,Intermediate,Reading,17,Listening,3.34,71.29,60.57,0.42,Repeat,True,-0.49,1.02
L0028,Intermediate,Writing,2,Vocabulary,2.75,79.75,96.08,0.5,Repeat,False,0.67,1.91
L0005,Advanced,Writing,15,Listening,7.79,70.86,64.38,0.85,Repeat,True,-0.31,1.63
L0062,Advanced,Writing,7,Grammar,5.26,85.99,93.94,0.31,Advance,False,0.38,2.1
L0003,Beginner,Reading,8,Listening,4.28,77.67,80.85,0.84,Advance,True,0.16,1.8
L0054,Beginner,Writing,2,Vocabulary,4.88,58.96,59.8,0.65,Repeat,False,0.04,1.77
L0012,Intermediate,Writing,6,Kanji,3.39,38.05,29.92,0.61,Advance,False,-0.39,1.26
L0063,Intermediate,Conversational,11,Listening,5.23,48.43,57.62,0.7,Repeat,True,0.43,1.44
L0073,Beginner,Conversational,8,Grammar,4.11,89.22,89.89,0.41,Revise,True,0.03,2.07
L0041,Advanced,Writing,20,Kanji,2.54,73.19,57.53,0.93,Test,True,-0.65,1.83
L0028,Advanced,Writing,11,Kanji,3.91,62.26,65.24,0.41,Advance,False,0.15,1.8
L0068,Intermediate,JLPT N5,4,Kanji,3.28,87.14,87.04,0.39,Revise,False,-0.0,1.93
L0009,Intermediate,Conversational,13,Vocabulary,5.78,58.41,53.39,0.57,Repeat,False,-0.25,1.65
L0054,Beginner,Writing,3,Grammar,5.68,65.57,67.25,0.8,Test,False,0.08,1.94
L0092,Advanced,Writing,12,Grammar,2.34,86.25,93.62,0.92,Repeat,False,0.35,1.82
L0005,Beginner,Reading,16,Kanji,6.68,78.2,75.81,0.4,Revise,False,-0.12,1.68
L0072,Intermediate,Conversational,9,Listening,3.43,79.13,67.71,0.7,Revise,True,-0.52,2.08
L0094,Advanced,Reading,17,Listening,4.79,88.38,88.76,0.39,Advance,True,0.02,1.91
L0083,Beginner,JLPT N5,16,Kanji,4.36,59.87,64.56,0.99,Repeat,False,0.23,1.44
L0083,Intermediate,Reading,3,Listening,5.25,99.08,89.08,0.32,Test,True,-0.46,1.76
L0081,Beginner,JLPT N4,14,Kanji,5.69,73.3,80.14,0.34,Test,True,0.33,1.68
L0051,Beginner,JLPT N4,15,Listening,5.82,66.38,73.11,0.38,Revise,False,0.32,2.11
L0045,Intermediate,Conversational,14,Vocabulary,7.21,68.19,46.47,0.98,Revise,True,-0.8,1.63
L0090,Advanced,Reading,14,Kanji,4.24,69.75,65.7,0.98,Repeat,True,-0.2,1.64
L0052,Advanced,Writing,16,Grammar,6.08,83.27,93.3,0.74,Revise,False,0.46,2.34
L0062,Beginner,Conversational,19,Listening,5.73,97.57,95.34,0.31,Advance,False,-0.11,1.88
L0018,Advanced,Conversational,20,Grammar,6.6,45.76,35.22,0.82,Test,False,-0.48,1.14
L0012,Intermediate,Reading,4,Vocabulary,4.29,81.92,87.51,0.89,Advance,True,0.27,2.33
L0032,Advanced,Conversational,16,Grammar,5.17,62.99,55.66,0.88,Advance,False,-0.35,1.56
L0047,Advanced,JLPT N4,3,Kanji,8.44,68.74,63.6,0.91,Advance,True,-0.25,1.64
L0052,Beginner,JLPT N4,2,Listening,5.38,85.02,57.98,0.52,Repeat,True,-0.87,1.72
L0042,Intermediate,JLPT N5,12,Vocabulary,2.76,68.35,58.48,0.42,Repeat,False,-0.46,1.49
L0049,Beginner,Writing,19,Vocabulary,7.86,65.93,79.94,0.39,Test,False,0.6,2.02
L0028,Beginner,JLPT N5,4,Vocabulary,4.49,33.96,38.2,0.72,Advance,False,0.21,1.41
L0074,Beginner,JLPT N4,9,Grammar,9.58,71.61,70.55,0.55,Test,False,-0.05,1.67
L0075,Intermediate,Reading,12,Vocabulary,6.61,73.09,71.24,0.62,Revise,True,-0.09,1.39
L0073,Advanced,JLPT N4,13,Kanji,2.19,68.75,53.71,0.44,Repeat,False,-0.64,1.69
L0090,Advanced,Writing,13,Listening,7.32,71.82,66.97,0.62,Test,True,-0.24,1.82
L0067,Advanced,Reading,17,Vocabulary,4.02,49.86,44.05,0.87,Revise,True,-0.28,1.61
L0074,Intermediate,JLPT N4,19,Grammar,5.39,84.89,84.25,0.95,Repeat,False,-0.03,1.72
L0100,Beginner,Conversational,13,Kanji,2.24,42.13,50.44,0.8,Revise,False,0.39,1.47
L0003,Intermediate,Reading,12,Grammar,2.6,85.44,92.32,0.3,Advance,True,0.33,2.01
L0046,Beginner,Conversational,13,Vocabulary,4.25,78.64,89.4,0.76,Advance,True,0.49,2.01
L0005,Advanced,JLPT N4,5,Kanji,4.58,55.19,53.88,0.36,Test,True,-0.07,1.55
L0074,Beginner,Writing,15,Vocabulary,3.95,92.59,100.0,0.92,Advance,True,0.35,2.27
L0024,Beginner,JLPT N4,13,Kanji,5.41,81.38,85.2,0.38,Advance,False,0.19,1.98
L0015,Intermediate,JLPT N4,2,Vocabulary,7.56,71.75,74.92,0.61,Repeat,False,0.16,2.13
L0077,Beginner,Conversational,13,Listening,6.6,67.06,61.36,0.63,Repeat,False,-0.28,1.74
L0009,Beginner,JLPT N5,6,Vocabulary,5.94,82.68,100.0,0.49,Advance,True,0.7,1.85
L0076,Advanced,JLPT N5,6,Kanji,4.47,91.5,96.78,0.9,Test,True,0.26,2.07
L0059,Beginner,JLPT N5,15,Grammar,4.28,73.48,70.76,0.58,Revise,True,-0.14,1.69
L0044,Beginner,Conversational,7,Vocabulary,2.47,70.66,66.62,0.83,Revise,True,-0.2,1.69
L0064,Intermediate,Writing,15,Grammar,7.62,90.94,85.31,0.59,Repeat,False,-0.27,1.81
L0057,Intermediate,JLPT N4,17,Listening,7.44,71.67,86.81,0.37,Repeat,False,0.64,2.28
L0065,Advanced,Writing,17,Kanji,4.91,52.8,52.85,0.97,Revise,False,0.0,1.43
L0036,Beginner,JLPT N4,4,Vocabulary,4.77,67.64,66.16,0.58,Test,True,-0.07,1.81
L0097,Intermediate,JLPT N4,6,Grammar,4.48,93.98,99.59,0.38,Revise,True,0.27,1.94
L0042,Beginner,JLPT N4,10,Grammar,4.05,35.7,36.96,0.68,Repeat,False,0.06,1.37
L0029,Beginner,JLPT N4,13,Kanji,2.85,74.95,100.0,0.42,Advance,False,0.85,1.64
L0076,Beginner,JLPT N5,19,Kanji,7.12,62.99,54.39,0.66,Revise,True,-0.41,1.66
L0032,Intermediate,JLPT N4,12,Vocabulary,6.27,62.37,49.95,0.71,Test,False,-0.55,1.53
L0015,Intermediate,JLPT N4,3,Kanji,5.65,64.63,70.94,0.81,Test,True,0.31,1.58
L0077,Intermediate,Reading,18,Kanji,7.2,99.38,87.08,0.58,Repeat,True,-0.55,1.97
L0083,Advanced,Reading,5,Listening,10.0,47.46,49.99,0.67,Advance,True,0.13,1.59
L0083,Beginner,JLPT N5,12,Kanji,3.64,71.14,67.52,0.32,Revise,True,-0.18,2.07
L0096,Advanced,Reading,6,Kanji,4.75,52.41,52.28,0.9,Advance,True,-0.01,1.6
L0029,Advanced,Writing,4,Grammar,3.19,60.19,54.24,0.66,Test,False,-0.29,1.82
L0079,Intermediate,JLPT N5,19,Listening,7.11,73.35,72.8,0.88,Test,True,-0.03,1.79
L0051,Advanced,JLPT N4,15,Grammar,6.11,71.34,69.37,0.9,Advance,True,-0.1,1.66
L0029,Advanced,JLPT N5,17,Kanji,2.23,84.45,76.62,0.48,Repeat,True,-0.37,1.55
L0020,Intermediate,Reading,5,Grammar,9.67,72.88,92.45,0.81,Advance,False,0.75,1.88
L0040,Beginner,JLPT N5,10,Vocabulary,4.18,58.79,70.25,0.5,Revise,False,0.52,1.6
L0090,Beginner,JLPT N5,15,Vocabulary,7.42,48.41,50.21,0.79,Revise,True,0.09,1.53
L0065,Advanced,Reading,8,Listening,8.08,59.56,69.18,0.32,Advance,True,0.45,1.47
L0004,Intermediate,JLPT N5,11,Listening,3.42,65.38,46.44,0.35,Advance,True,-0.74,1.51
L0048,Intermediate,JLPT N4,2,Listening,6.32,84.06,67.99,0.46,Advance,True,-0.67,1.53
L0016,Beginner,Reading,7,Grammar,1.81,58.64,53.94,0.32,Repeat,False,-0.23,1.4
L0040,Advanced,Reading,7,Vocabulary,1.92,68.01,68.8,0.72,Revise,False,0.04,1.69
L0097,Intermediate,Reading,19,Kanji,3.29,75.03,75.11,0.61,Revise,False,0.0,1.95
L0091,Intermediate,Writing,10,Vocabulary,5.44,89.34,93.59,0.62,Advance,False,0.21,2.38
L0018,Intermediate,Reading,14,Grammar,5.95,77.58,88.18,0.4,Test,True,0.49,2.43
L0051,Beginner,Writing,8,Grammar,4.95,43.46,36.52,0.74,Test,False,-0.33,1.28
L0004,Beginner,JLPT N5,11,Listening,3.69,46.92,53.99,0.72,Test,False,0.34,1.73
L0072,Advanced,Writing,17,Listening,3.28,86.88,84.15,0.49,Repeat,False,-0.14,1.69
L0016,Intermediate,Conversational,2,Grammar,7.05,60.04,58.45,0.94,Test,False,-0.08,1.77
L0077,Intermediate,Writing,16,Vocabulary,5.37,76.91,84.29,0.89,Repeat,True,0.35,1.87
L0028,Beginner,Conversational,10,Grammar,4.17,60.87,59.19,0.49,Test,True,-0.08,1.63
L0011,Advanced,Writing,11,Vocabulary,5.18,72.96,66.78,0.85,Test,True,-0.3,1.6
L0002,Beginner,JLPT N5,12,Vocabulary,1.0,69.55,68.82,0.38,Advance,False,-0.04,1.91
L0062,Advanced,Reading,14,Listening,4.43,74.91,53.26,0.8,Revise,False,-0.79,1.8
L0050,Advanced,JLPT N4,9,Kanji,4.26,100.0,97.27,0.77,Repeat,False,-0.14,2.05
L0006,Beginner,Reading,13,Vocabulary,4.8,63.49,64.87,0.63,Repeat,False,0.07,1.58
L0063,Beginner,JLPT N5,1,Grammar,4.34,79.05,73.61,0.38,Test,False,-0.27,1.7
L0074,Beginner,Writing,10,Grammar,3.15,71.52,60.7,0.94,Repeat,True,-0.49,1.76
L0080,Beginner,JLPT N5,2,Listening,4.56,30.42,38.21,0.72,Test,False,0.37,1.0
L0067,Intermediate,JLPT N5,11,Listening,7.82,61.74,44.77,0.45,Repeat,True,-0.69,1.38
L0022,Beginner,Conversational,12,Vocabulary,6.35,78.88,75.34,0.31,Advance,False,-0.18,1.64
L0086,Beginner,Reading,1,Kanji,3.31,80.97,90.53,0.7,Repeat,True,0.44,2.29
L0043,Intermediate,Reading,4,Kanji,7.06,71.97,77.17,0.88,Test,True,0.25,2.16
L0062,Intermediate,Writing,8,Vocabulary,4.06,64.04,67.02,0.96,Revise,True,0.15,1.78
L0065,Advanced,Reading,2,Listening,8.34,68.39,61.44,0.97,Advance,True,-0.33,1.61
L0065,Beginner,JLPT N5,9,Kanji,5.38,46.09,59.01,0.69,Test,False,0.57,1.86
L0020,Beginner,Conversational,9,Grammar,6.32,57.01,65.34,0.89,Repeat,False,0.39,1.7
L0099,Advanced,JLPT N5,13,Kanji,6.81,70.91,75.29,0.87,Advance,False,0.22,1.55
L0025,Intermediate,Reading,15,Kanji,4.53,77.0,86.87,0.8,Test,True,0.46,1.85
L0040,Advanced,JLPT N4,18,Grammar,5.9,72.98,57.27,0.33,Repeat,False,-0.66,1.57
L0024,Advanced,Reading,1,Listening,5.08,78.77,78.81,0.78,Repeat,True,0.0,1.46
L0048,Intermediate,Writing,5,Kanji,6.31,72.77,75.59,0.43,Repeat,True,0.14,2.07
L0019,Advanced,Reading,3,Vocabulary,4.6,51.52,56.0,0.47,Revise,True,0.22,1.63
L0079,Beginner,Reading,6,Grammar,5.57,57.72,31.81,0.97,Test,True,-0.86,1.31
L0047,Beginner,Writing,12,Grammar,4.15,45.74,38.57,0.74,Repeat,True,-0.34,1.42
L0021,Advanced,JLPT N5,6,Grammar,6.1,61.28,61.55,0.98,Advance,False,0.01,1.73
L0005,Intermediate,JLPT N5,8,Vocabulary,4.83,51.35,41.74,0.75,Advance,True,-0.45,1.58
L0003,Beginner,Conversational,7,Kanji,6.12,76.26,87.64,0.85,Advance,True,0.51,1.95
L0015,Intermediate,JLPT N4,10,Listening,4.02,77.03,90.91,0.48,Repeat,False,0.6,1.92
L0089,Beginner,JLPT N4,3,Grammar,10.0,48.05,70.62,0.36,Test,True,0.81,1.64
L0050,Intermediate,JLPT N5,3,Vocabulary,4.83,59.92,67.74,0.99,Advance,False,0.37,1.39
L0016,Beginner,Conversational,20,Vocabulary,1.32,94.15,86.11,0.97,Advance,True,-0.38,2.01
L0087,Beginner,Writing,2,Vocabulary,2.83,80.63,97.46,0.69,Test,False,0.69,1.87
L0087,Intermediate,Writing,3,Grammar,6.85,62.9,60.72,0.93,Revise,False,-0.11,1.39
L0073,Beginner,JLPT N4,8,Grammar,7.84,61.98,47.79,0.48,Test,False,-0.61,1.52
L0047,Intermediate,JLPT N5,16,Vocabulary,6.77,63.69,37.65,0.87,Test,False,-0.86,1.42
L0044,Intermediate,JLPT N5,8,Listening,3.69,88.2,88.83,0.62,Advance,False,0.03,2.15
L0023,Advanced,JLPT N4,20,Listening,3.99,68.78,72.25,0.3,Repeat,False,0.17,1.63
L0030,Beginner,JLPT N4,6,Vocabulary,3.54,54.65,44.35,0.3,Test,True,-0.47,1.29
L0080,Intermediate,Writing,15,Kanji,3.81,55.51,63.63,0.59,Repeat,False,0.39,1.9
L0016,Advanced,Reading,13,Grammar,1.55,59.84,71.78,0.87,Revise,False,0.53,1.52
L0034,Intermediate,Reading,14,Listening,4.28,57.64,64.69,0.68,Revise,True,0.34,1.5
L0046,Advanced,JLPT N5,8,Grammar,3.8,73.43,91.45,0.42,Test,False,0.72,1.99
L0098,Intermediate,Reading,9,Listening,6.55,49.07,26.66,0.96,Revise,False,-0.81,1.21
L0100,Intermediate,JLPT N5,15,Kanji,6.94,82.05,82.38,0.66,Revise,False,0.02,1.63
L0007,Intermediate,JLPT N5,4,Grammar,4.9,76.73,73.18,0.37,Revise,True,-0.18,1.66
L0099,Beginner,Reading,6,Kanji,5.46,77.47,84.13,0.49,Test,False,0.32,1.93
L0094,Advanced,JLPT N4,9,Vocabulary,3.88,53.5,57.89,0.81,Test,False,0.22,1.73
L0057,Advanced,Reading,15,Listening,8.27,37.85,36.02,0.65,Test,True,-0.09,1.0
L0026,Beginner,Reading,4,Grammar,4.41,68.93,53.75,0.79,Repeat,False,-0.64,1.47
L0050,Beginner,Reading,19,Kanji,5.61,97.64,74.31,0.52,Repeat,True,-0.82,2.01
L0031,Beginner,JLPT N5,16,Vocabulary,4.52,74.04,76.47,0.58,Revise,True,0.12,2.04
L0022,Intermediate,Writing,11,Listening,2.77,54.82,58.58,0.86,Repeat,False,0.19,1.75
L0024,Beginner,JLPT N5,7,Listening,5.85,67.25,53.8,0.41,Test,False,-0.59,1.67
L0093,Beginner,JLPT N4,1,Vocabulary,1.45,76.13,65.84,0.73,Repeat,False,-0.47,1.39
L0050,Intermediate,JLPT N5,1,Listening,7.02,67.22,52.9,0.55,Repeat,False,-0.61,1.65
L0089,Beginner,Writing,18,Vocabulary,8.63,60.14,55.82,0.56,Test,True,-0.21,1.53
L0077,Advanced,Conversational,4,Grammar,3.88,75.1,81.82,0.72,Advance,False,0.32,1.95
L0024,Intermediate,Reading,20,Grammar,3.07,55.64,59.08,0.35,Revise,True,0.17,1.58
L0072,Intermediate,JLPT N4,10,Listening,4.54,56.14,65.04,0.6,Revise,True,0.42,1.86
L0049,Intermediate,JLPT N4,17,Vocabulary,2.01,60.25,59.42,0.49,Test,True,-0.04,1.3
L0048,Beginner,JLPT N4,10,Grammar,3.37,76.54,64.68,0.95,Revise,True,-0.53,1.72
L0010,Beginner,JLPT N5,20,Grammar,3.91,65.93,82.66,0.75,Advance,False,0.68,2.09
L0086,Beginner,JLPT N5,2,Listening,3.19,91.83,75.28,0.77,Repeat,True,-0.68,2.18
L0001,Beginner,Conversational,6,Kanji,2.75,56.24,66.41,0.96,Test,True,0.47,1.72
L0055,Advanced,Reading,10,Vocabulary,2.41,77.61,83.58,0.56,Repeat,False,0.29,2.1
L0022,Beginner,Conversational,13,Grammar,4.54,69.35,54.04,0.62,Advance,False,-0.64,1.64
L0061,Intermediate,Reading,1,Grammar,6.44,56.58,70.83,0.45,Repeat,False,0.61,1.85
L0073,Beginner,Writing,6,Grammar,3.27,67.89,71.05,0.6,Advance,True,0.16,1.75
L0040,Advanced,Reading,15,Grammar,5.11,90.2,92.84,0.77,Repeat,True,0.13,1.62
L0048,Intermediate,Conversational,18,Grammar,3.99,73.95,76.89,0.82,Test,True,0.15,1.72
L0064,Advanced,Writing,15,Listening,4.85,66.37,63.9,0.6,Revise,True,-0.12,1.78
L0092,Beginner,Conversational,1,Grammar,3.84,73.59,78.59,0.95,Advance,True,0.24,1.88
L0054,Beginner,Writing,13,Kanji,4.05,89.89,73.12,0.99,Repeat,False,-0.68,1.75
L0044,Advanced,JLPT N5,8,Kanji,4.63,60.71,62.24,0.68,Test,False,0.08,1.78
L0019,Beginner,Writing,17,Grammar,4.16,90.44,93.74,0.88,Advance,False,0.16,2.12
L0023,Beginner,JLPT N5,8,Vocabulary,8.99,58.5,53.0,0.61,Test,True,-0.27,1.7
L0052,Advanced,Conversational,13,Listening,5.05,41.2,41.07,0.95,Repeat,True,-0.01,1.27
L0097,Beginner,Reading,15,Vocabulary,6.96,54.9,54.62,0.95,Test,False,-0.01,1.52
L0030,Advanced,JLPT N5,16,Grammar,7.98,71.28,79.37,0.61,Repeat,False,0.38,1.9
L0003,Intermediate,Conversational,4,Vocabulary,2.98,53.24,54.24,0.67,Revise,True,0.05,1.21
L0071,Intermediate,Writing,20,Vocabulary,5.22,71.89,78.04,0.85,Repeat,True,0.3,1.67
L0005,Beginner,Writing,14,Listening,5.17,36.71,34.41,0.69,Revise,True,-0.11,1.17
L0067,Intermediate,JLPT N4,3,Vocabulary,5.62,37.65,40.49,0.54,Revise,False,0.14,1.45
L0032,Beginner,Conversational,16,Listening,4.22,93.86,82.83,0.77,Advance,True,-0.5,1.9
L0029,Intermediate,Conversational,13,Listening,3.47,92.17,64.55,0.82,Test,True,-0.88,1.56
L0081,Advanced,Reading,2,Kanji,7.92,72.42,76.16,0.54,Repeat,True,0.18,1.39
L0051,Beginner,Writing,11,Vocabulary,6.15,75.23,78.37,0.71,Repeat,False,0.16,1.61
L0082,Intermediate,Reading,2,Grammar,9.85,76.49,62.72,0.45,Test,False,-0.6,1.51
L0018,Intermediate,Writing,8,Listening,4.92,73.34,78.7,0.78,Advance,True,0.26,1.86
L0026,Beginner,Writing,8,Vocabulary,3.26,78.02,51.66,0.91,Repeat,False,-0.87,1.52
L0007,Advanced,JLPT N5,2,Kanji,4.92,98.97,97.95,0.99,Advance,True,-0.05,2.12
L0011,Intermediate,JLPT N4,17,Vocabulary,4.05,50.73,49.41,0.66,Test,False,-0.07,1.53
L0008,Beginner,Writing,1,Grammar,4.91,58.53,78.81,0.78,Repeat,False,0.77,1.98
L0071,Intermediate,Conversational,16,Grammar,7.49,71.98,75.59,0.64,Test,True,0.18,1.82
L0001,Advanced,Writing,19,Grammar,5.53,42.87,56.19,0.58,Repeat,False,0.58,1.57
L0006,Intermediate,Conversational,15,Vocabulary,3.4,69.05,81.42,0.93,Advance,True,0.55,1.72
L0037,Advanced,Conversational,16,Listening,2.32,68.69,75.33,0.68,Test,True,0.32,1.85
L0065,Beginner,Conversational,17,Kanji,4.61,60.05,57.1,1.0,Advance,True,-0.15,1.84
L0001,Advanced,Reading,10,Vocabulary,2.84,59.67,47.13,0.35,Repeat,True,-0.56,1.18
L0058,Advanced,JLPT N4,4,Vocabulary,8.52,65.76,78.65,0.31,Advance,False,0.57,1.98
L0024,Beginner,Reading,11,Grammar,5.63,74.58,89.05,0.37,Repeat,True,0.62,1.61
L0007,Beginner,Writing,15,Kanji,5.21,61.31,75.67,0.66,Revise,False,0.62,1.31
L0099,Beginner,Writing,7,Kanji,7.25,81.6,73.59,0.76,Advance,True,-0.38,2.04
L0084,Advanced,JLPT N4,6,Kanji,5.71,73.27,78.68,0.76,Test,True,0.26,2.08
L0036,Beginner,Writing,4,Kanji,5.27,87.43,79.5,0.59,Advance,False,-0.38,2.01
L0057,Intermediate,Reading,11,Grammar,3.3,60.22,49.32,0.45,Advance,True,-0.5,1.34
L0009,Advanced,JLPT N4,12,Kanji,6.89,82.91,100.0,0.39,Advance,True,0.69,2.28
L0054,Beginner,JLPT N5,19,Grammar,6.02,85.46,78.88,0.78,Advance,False,-0.32,1.96
L0035,Advanced,Conversational,15,Grammar,7.64,80.91,82.51,0.88,Revise,False,0.08,1.52
L0059,Intermediate,Conversational,14,Grammar,5.93,49.49,57.97,0.87,Advance,False,0.4,1.33
L0076,Advanced,JLPT N4,4,Vocabulary,5.7,69.58,76.24,0.82,Revise,True,0.32,1.9
L0004,Beginner,Conversational,1,Listening,4.08,69.0,65.68,0.69,Repeat,False,-0.16,1.76
L0095,Advanced,JLPT N5,14,Listening,2.53,87.47,94.18,1.0,Advance,True,0.32,1.88
L0045,Advanced,Writing,6,Kanji,5.47,64.26,70.18,0.98,Repeat,True,0.29,1.88
L0004,Intermediate,JLPT N5,20,Listening,6.2,85.63,85.5,0.7,Advance,False,-0.01,1.82
L0052,Intermediate,Reading,16,Kanji,2.97,66.34,65.95,0.85,Repeat,True,-0.02,1.63
L0059,Intermediate,Conversational,11,Grammar,2.94,86.7,87.05,0.3,Revise,False,0.02,1.65
L0096,Beginner,Conversational,3,Vocabulary,6.93,74.96,91.3,0.99,Advance,False,0.67,2.26
L0062,Advanced,Conversational,19,Kanji,8.54,62.62,49.08,0.72,Test,False,-0.59,1.38
L0062,Beginner,JLPT N4,11,Grammar,4.59,78.41,63.7,1.0,Test,False,-0.63,1.67
L0061,Intermediate,Reading,12,Vocabulary,7.28,69.72,76.74,0.65,Revise,False,0.34,1.76
L0066,Advanced,JLPT N4,11,Vocabulary,4.12,85.88,87.9,0.34,Revise,False,0.1,2.01
L0086,Advanced,JLPT N5,9,Grammar,5.19,58.77,66.27,0.59,Advance,True,0.36,1.78
L0018,Advanced,JLPT N5,8,Vocabulary,4.2,97.3,100.0,0.42,Test,False,0.13,2.09
L0055,Advanced,JLPT N4,20,Kanji,4.64,50.98,70.04,0.94,Test,False,0.74,1.61
L0036,Beginner,JLPT N4,13,Listening,5.48,52.73,56.6,0.71,Revise,False,0.19,1.53
L0020,Advanced,Conversational,8,Grammar,5.39,57.46,53.66,0.46,Test,False,-0.19,1.57
L0049,Beginner,Conversational,17,Kanji,6.86,73.92,77.24,0.45,Advance,False,0.16,1.93
L0039,Intermediate,JLPT N5,13,Grammar,7.43,62.45,56.42,0.78,Repeat,False,-0.29,1.44
L0023,Beginner,Reading,8,Listening,4.29,57.04,36.89,0.77,Repeat,True,-0.76,1.12
L0037,Beginner,JLPT N5,10,Grammar,3.67,67.33,60.74,0.63,Repeat,True,-0.32,1.47
L0089,Beginner,Reading,6,Kanji,7.46,31.94,27.83,0.74,Advance,False,-0.2,1.18
L0019,Beginner,Reading,10,Vocabulary,3.46,50.56,46.0,0.45,Advance,True,-0.22,1.5
L0056,Beginner,Writing,4,Vocabulary,4.17,56.1,55.79,0.51,Revise,False,-0.02,1.39
L0082,Advanced,JLPT N4,14,Listening,4.28,74.52,76.35,0.4,Revise,False,0.09,2.3
L0093,Beginner,Conversational,3,Listening,4.68,85.54,85.13,0.8,Test,False,-0.02,1.89
L0054,Intermediate,Reading,2,Kanji,8.48,65.18,83.51,0.84,Advance,True,0.72,2.0
L0059,Intermediate,JLPT N5,15,Grammar,5.35,54.41,54.58,0.63,Repeat,True,0.01,1.48
L0041,Intermediate,Writing,9,Vocabulary,1.0,47.97,43.72,0.9,Revise,True,-0.21,1.64
